Date,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team
2019-05-08,NC,삼성,루친스키,윤성환,노진혁 권희동 박민우 양의지 베탄코트 박석민 손시헌 김태진 김성욱 ,박해민 김상수 구자욱 러프 이원석 강민호 공민규 이학주 김헌곤 ,0,2,1
2019-05-09,KIA,두산,윌랜드,린드블럼,이명기 김선빈 안치홍 최형우 김주찬 이창진 한승택 박찬호 박준태 ,허경민 페르난데스 박건우 김재환 김재호 박세혁 정진호 국해성 류지혁 ,5,3,0
2019-05-09,LG,키움,윌슨,브리검,이천웅 오지환 김현수 채은성 유강남 이형종 김민성 김용의 정주현 ,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 이지영 김혜성 ,1,2,1
2019-05-09,한화,SK,서폴드,김광현,정은원 오선진 호잉 송광민 최진행 이성열 김회성 백창수 최재훈 ,노수광 한유섬 최정 정의윤 로맥 이재원 고종욱 김성현 최항 ,6,1,0
2019-05-09,롯데,KT,장시환,쿠에바스,아수아헤 강로한 허일 이대호 손아섭 전준우 오윤석 나종덕 신본기 ,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이준수 강민국 ,13,6,0
2019-05-09,NC,삼성,김영규,맥과이어,이상호 노진혁 박민우 양의지 베탄코트 박석민 손시헌 김태진 김성욱 ,박해민 김상수 구자욱 러프 이원석 최영진 김헌곤 이학주 김도환 ,4,6,1
2019-05-10,한화,LG,장민재,켈리,정은원 오선진 호잉 이성열 최진행 김회성 백창수 최재훈 노시환 ,이천웅 이형종 김현수 조셉 유강남 채은성 김민성 오지환 정주현 ,5,2,0
2019-05-10,키움,KT,안우진,이대은,이정후 김하성 샌즈 박병호 장영석 서건창 임병욱 박동원 김지수 ,김민혁 오승택 강백호 로하스 박경수 황재균 유한준 이준수 강민국 ,6,7,1
2019-05-10,롯데,삼성,김원중,원태인,아수아헤 강로한 허일 이대호 손아섭 전준우 오윤석 나종덕 신본기 ,박해민 김상수 구자욱 러프 이원석 강민호 박한이 공민규 이학주 ,12,5,0
2019-05-10,SK,KIA,산체스,홍건희,노수광 한유섬 최정 로맥 이재원 김강민 고종욱 김성현 최항 ,이명기 김선빈 안치홍 최형우 나지완 황대인 신범수 박찬호 최정민 ,4,1,0
2019-05-10,두산,NC,이현호,송명기,허경민 페르난데스 박건우 김재환 오재일 박세혁 류지혁 정진호 오재원 ,박민우 이상호 박석민 양의지 베탄코트 권희동 노진혁 강진성 김성욱 ,11,12,1
