순,이름,팀,war,g,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,ops,woba,wrc+,war,wpa
109,김재유,20롯CF,0.28,68,133,116,20,30,1,0,1,34,9,10,2,12,3,0,35,2,2,0,.259,.344,.293,.637,.306,74.5,0.28,0.16
110,김호령,20KCF,0.28,88,159,138,36,32,5,2,4,53,16,3,3,14,3,0,55,2,3,1,.232,.314,.384,.698,.313,77.5,0.28,-0.41
111,오재원,20두2B,0.25,85,174,155,25,36,7,1,5,60,27,10,5,16,0,0,49,3,1,2,.232,.301,.387,.688,.309,82.7,0.25,-1.04
112,박성한,20SSS,0.24,41,112,99,7,24,2,0,2,32,8,1,1,11,1,0,21,1,1,0,.242,.324,.323,.648,.305,73.2,0.24,-0.59
113,노수광,20S한CF,0.23,100,330,291,39,73,10,3,1,92,21,11,7,34,2,2,64,2,2,1,.251,.332,.316,.649,.305,76.7,0.23,-0.77
114,김인태,20두LF,0.23,75,107,81,14,15,5,0,1,23,13,0,0,21,2,0,13,3,2,1,.185,.362,.284,.646,.316,85.5,0.23,0.95
115,신민재,20LCF,0.23,67,31,25,26,8,1,0,0,9,5,8,2,4,0,0,3,1,2,0,.320,.414,.360,.774,.349,104.3,0.23,-0.11
116,이재율,20N,0.23,25,10,9,9,4,1,0,0,5,3,4,1,1,0,0,1,1,0,0,.444,.500,.556,1.056,.485,190.7,0.23,0.02
117,최용제,20두C,0.22,28,49,44,9,13,0,1,0,15,9,0,0,4,0,0,8,2,1,0,.295,.354,.341,.695,.323,85.6,0.22,0.28
118,김찬형,20NSS,0.22,54,70,62,10,18,6,0,0,24,6,3,1,4,1,0,11,0,2,1,.290,.338,.387,.725,.325,85.6,0.22,0.16
119,허도환,20KC,0.22,50,59,51,1,14,1,0,0,15,5,0,0,5,2,0,14,2,1,0,.275,.362,.294,.656,.317,80.6,0.22,0.54
120,임병욱,20키CF,0.22,12,41,37,3,10,4,0,0,14,6,3,0,4,0,1,10,1,0,0,.270,.342,.378,.720,.325,89.3,0.22,0.27
121,이성곤,20삼1B,0.21,61,153,138,16,38,7,0,5,60,18,2,0,11,0,0,38,3,2,2,.275,.325,.435,.759,.336,91.9,0.21,-0.23
122,김성민,20SSS,0.20,9,16,14,4,4,0,0,2,10,4,0,0,1,1,0,3,0,0,0,.286,.375,.714,1.089,.457,164.6,0.20,0.15
123,김주형,20키3B,0.20,38,50,43,8,10,3,0,1,16,6,0,1,4,2,0,10,0,1,0,.233,.327,.372,.699,.319,86.4,0.20,-0.33
124,최지훈,20SRF,0.18,125,510,461,63,117,19,5,1,149,27,18,6,34,5,0,79,4,7,3,.254,.310,.323,.633,.294,67.8,0.18,-2.64
125,양석환,20L3B,0.18,40,132,118,8,29,5,0,3,43,13,0,0,10,2,0,25,1,2,0,.246,.315,.364,.680,.310,82.5,0.18,-0.75
126,변상권,20키CF,0.15,35,64,62,7,17,5,0,1,25,16,0,0,1,0,0,20,2,0,1,.274,.281,.403,.685,.305,77.5,0.15,0.15
127,김지찬,20삼2B,0.14,134,286,253,47,59,5,1,1,69,13,21,4,24,2,0,43,1,5,2,.233,.303,.273,.575,.273,53.8,0.14,-1.61
128,정주현,20L2B,0.14,132,367,324,50,81,10,4,4,111,30,8,7,29,3,0,63,6,9,2,.250,.316,.343,.658,.300,73.2,0.14,-0.47
129,박정현,20한SS,0.14,30,64,61,6,17,3,0,1,23,9,0,0,3,0,0,17,2,0,0,.279,.313,.377,.690,.317,84.3,0.14,-0.05
130,김은성,20키2B,0.13,16,6,4,0,2,0,0,0,2,0,0,0,1,1,0,1,1,0,0,.500,.667,.500,1.167,.563,244.9,0.13,-0.18
