순,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ,WAAwithADJ
119,허도환,18SC,0.055,22,4,67.1,70,66,4,0,1.000,9.36,0.00,0.00,-0.12,-0.02,0.10,-0.03,-0.59,0.64,0.61,-0.003,0.055
120,백승현,18LSS,0.055,5,2,19.2,9,4,5,0,1.000,4.12,0.43,0.00,0.00,0.00,0.06,0.49,29.81,0.11,0.60,0.045,0.055
121,박세웅,18롯P,0.054,14,12,49.0,10,4,6,0,1.000,1.84,0.49,0.00,0.00,0.02,0.09,0.60,14.75,0.00,0.60,0.054,0.054
122,장진혁,18한LF,0.054,36,8,117.2,26,24,2,0,1.000,1.99,-0.41,1.41,0.00,0.00,0.08,1.08,10.99,-0.48,0.60,0.097,0.054
123,전민재,18두2B,0.052,10,0,22.0,6,3,3,0,1.000,2.46,0.48,0.00,0.00,0.00,0.06,0.54,29.15,0.04,0.58,0.048,0.052
124,박세진,18KP,0.051,8,8,30.1,6,0,6,0,1.000,1.78,0.50,0.00,0.00,0.01,0.05,0.57,22.59,0.00,0.57,0.051,0.051
125,장승현,18두C,0.051,17,3,42.1,43,40,3,0,1.000,9.14,0.00,0.00,-0.03,0.13,0.06,0.16,4.63,0.41,0.57,0.015,0.051
126,한기주,18삼P,0.051,33,1,39.0,7,2,5,0,1.000,1.62,0.30,0.00,0.18,0.02,0.07,0.57,17.35,0.00,0.57,0.051,0.051
127,김진성,18NP,0.050,50,0,45.1,9,3,6,0,1.000,1.79,0.60,0.00,-0.14,0.02,0.08,0.56,14.86,0.00,0.56,0.050,0.050
128,최영진,18삼1B,0.049,44,25,257.1,156,131,22,3,.981,5.35,1.62,0.00,0.00,0.00,-0.04,1.59,7.37,-1.04,0.54,0.142,0.049
129,김건태,18NP,0.047,21,9,53.0,6,0,5,1,.833,0.85,0.60,0.00,0.00,0.02,-0.11,0.52,11.79,0.00,0.52,0.047,0.047
130,나경민,18롯CF,0.046,51,14,161.2,44,44,0,0,1.000,2.45,1.06,-0.62,0.00,0.00,0.09,0.53,3.96,-0.02,0.52,0.048,0.046
