,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점,선수WAR
158,안규현,2.5,,0.18181818181818182,0.0,0.5,1.5,9.0,-0.02
159,김홍빈,2.18,,0.39473684210526316,0.0,0.5633802816901409,0.14084507042253522,7.605633802816902,-0.02
160,강영식,2.14,0.0,0.3076923076923077,0.0,0.9523809523809523,0.47619047619047616,4.285714285714286,-0.02
161,정용운,1.57,0.6,0.2066420664206642,0.025830258302583026,0.5414551607445008,0.626057529610829,5.939086294416244,-0.02
162,김시현,2.06,,0.27884615384615385,0.038461538461538464,0.7582938388625592,0.7109004739336492,7.677725118483412,-0.03
163,이용호,12.0,,0.5,0.0,0.0,20.0,90.0,-0.04
164,송은범,1.82,0.0,0.2542372881355932,0.022598870056497175,0.40431266846361186,0.6199460916442048,6.5498652291105115,-0.04
165,김진영,2.63,,0.3333333333333333,0.0,1.8181818181818181,0.9090909090909091,12.272727272727272,-0.05
166,박정준,1.5,,0.2727272727272727,0.045454545454545456,0.9523809523809523,0.23809523809523808,10.714285714285714,-0.06
167,이수민,1.88,,0.2857142857142857,0.0,0.45454545454545453,0.45454545454545453,12.272727272727272,-0.07
168,배민관,2.73,,0.3157894736842105,0.05263157894736842,0.625,1.25,11.25,-0.07
169,양훈,1.78,0.6666666666666666,0.3157894736842105,0.013157894736842105,0.3105590062111801,0.3105590062111801,7.267080745341614,-0.08
170,김대유,2.14,,0.3333333333333333,0.041666666666666664,0.7142857142857143,0.47619047619047616,10.714285714285714,-0.08
171,유원상,1.64,,0.2222222222222222,0.0,0.14084507042253522,0.5633802816901409,6.338028169014085,-0.08
172,배제성,2.16,,0.2839506172839506,0.024691358024691357,0.65625,0.71875,8.71875,-0.08
173,안성무,2.06,0.5,0.2413793103448276,0.034482758620689655,0.7142857142857143,0.8928571428571429,8.035714285714286,-0.09
174,박희수,1.79,0.25,0.2677595628415301,0.04371584699453552,0.7631578947368421,0.5,6.631578947368421,-0.09
175,임진우,5.0,,0.5,0.0,1.0,1.0,27.0,-0.1
176,허건엽,2.04,,0.36585365853658536,0.024390243902439025,0.3703703703703704,0.2469135802469136,8.88888888888889,-0.1
177,최원재,3.5,1.0,0.5,0.08333333333333333,1.0,0.5,13.5,-0.1
178,최영필,3.75,,0.5,0.0,0.9090909090909091,0.0,24.545454545454543,-0.1
179,박경태,2.5,,0.2916666666666667,0.0,0.75,0.75,9.0,-0.11
180,박진태,1.65,0.0,0.2814814814814815,0.018518518518518517,0.4195804195804196,0.33216783216783213,6.608391608391608,-0.12
181,김찬호,2.81,,0.3125,0.0,1.1764705882352942,0.9803921568627452,12.352941176470589,-0.12
182,정동현,3.0,0.0,0.35714285714285715,0.07142857142857142,0.9523809523809523,0.9523809523809523,12.857142857142856,-0.12
183,조근종,3.5,,0.46153846153846156,0.07692307692307693,2.5,0.5,22.5,-0.12
184,박시영,1.61,0.4,0.22988505747126436,0.05363984674329502,0.9122807017543859,0.5614035087719298,6.473684210526316,-0.12
185,김종훈,6.0,,0.4444444444444444,0.1111111111111111,2.0,2.0,36.0,-0.12
186,박지훈,1.79,0.5,0.24242424242424243,0.015151515151515152,0.7142857142857143,0.6428571428571429,7.071428571428571,-0.12
187,최성영,2.12,,0.2982456140350877,0.07017543859649122,0.7207207207207208,0.6306306306306306,9.72972972972973,-0.12
188,최지광,2.0,0.0,0.22764227642276422,0.016260162601626018,0.92,0.88,6.48,-0.13
189,김현우,1.69,,0.28846153846153844,0.07692307692307693,1.0784313725490198,0.29411764705882354,9.705882352941178,-0.14
190,김사율,1.7,0.5,0.3090909090909091,0.04242424242424243,0.8187134502923976,0.23391812865497075,7.368421052631579,-0.14
191,배재환,2.38,0.0,0.3170731707317073,0.0975609756097561,0.5,0.75,9.0,-0.15
192,김태훈,1.94,0.5,0.2975609756097561,0.03902439024390244,0.8272506082725061,0.46228710462287104,6.56934306569343,-0.15
193,이건욱,5.25,,0.36363636363636365,0.09090909090909091,0.9090909090909091,2.727272727272727,40.90909090909091,-0.16
194,마정길,1.74,,0.27450980392156865,0.058823529411764705,0.6930693069306931,0.39603960396039606,10.693069306930694,-0.19
195,김정훈,2.5,1.0,0.40625,0.03125,0.8333333333333334,0.3333333333333333,12.0,-0.19
196,박치국,1.59,0.5,0.2483221476510067,0.020134228187919462,0.71875,0.4375,6.75,-0.2
197,정찬헌,1.62,0.5333333333333333,0.26785714285714285,0.017857142857142856,0.9313725490196078,0.4084967320261438,5.88235294117647,-0.2
198,안규영,2.81,,0.22580645161290322,0.0,0.7843137254901962,1.5686274509803924,14.11764705882353,-0.21
