,이름,WHIP,승률,피안타율,피홈런율,이닝당삼진,이닝당볼넷,평균자책점
149,심동섭,1.77,,0.25925925925925924,0.0,0.9615384615384615,0.5769230769230769,6.9230769230769225
150,문성현,2.0,,0.2,0.0,1.0,1.0,0.0
151,강동연,1.29,1.0,0.20408163265306123,0.04081632653061224,0.44642857142857145,0.44642857142857145,5.625
152,장지훈,1.0,,0.25,0.0,1.0,0.0,0.0
153,민태호,1.55,1.0,0.2619047619047619,0.023809523809523808,0.4347826086956522,0.4347826086956522,5.869565217391305
154,임정우,4.5,,0.2,0.0,5.0,10.0,0.0
155,김원중,1.72,0.5333333333333333,0.2540381791483113,0.041116005873715125,0.9441764300482426,0.5306685044796692,6.9469331495520334
156,윤석민,1.63,0.0,0.3021978021978022,0.04945054945054945,0.725,0.25,6.75
157,박정준,0.5,,0.0,0.0,1.0,0.5,0.0
158,심규범,1.5,,0.3333333333333333,0.0,0.0,0.0,0.0
159,신정락,1.5,0.3,0.2599118942731278,0.022026431718061675,1.1155378486055776,0.3386454183266932,5.916334661354582
160,박경태,1.42,,0.2413793103448276,0.0,0.9836065573770493,0.3278688524590164,5.901639344262295
161,김진욱,1.59,,0.2,0.0,0.7692307692307692,0.5769230769230769,6.9230769230769225
162,이우석,3.0,,0.0,0.0,10.0,10.0,0.0
163,성동현,3.0,1.0,0.5,0.0,0.0,0.0,0.0
164,강승현,1.8,,0.375,0.125,1.6666666666666667,0.0,7.5
165,임준혁,2.05,,0.34285714285714286,0.0,0.28169014084507044,0.4225352112676057,7.605633802816902
166,한주성,2.25,,0.36363636363636365,0.0,0.25,0.25,6.75
167,김태형,1.8,,0.25,0.125,0.8333333333333334,0.8333333333333334,7.5
168,고우석,1.58,0.375,0.22115384615384615,0.03205128205128205,0.6567164179104478,0.5522388059701493,5.91044776119403
169,봉민호,0.75,,0.2,0.2,1.8181818181818181,0.0,8.181818181818182
170,유원상,1.69,0.2,0.28,0.022222222222222223,0.6369426751592356,0.3609341825902335,6.496815286624203
171,고영창,,,0.6666666666666666,0.0,,inf,inf
